Location,label
Albury,Murray Basin
Badgerys Creek,East Coast
Cobar,Rangelands
Coffs Harbour,East Coast
Moree,Central Slopes
Newcastle,East Coast
Norah Head,East Coast
Norfolk Island,East Coast
Penrith,East Coast
Richmond,Southern Slopes
Sydney,East Coast
Wagga Wagga,Murray Basin
Williamtown,East Coast
Wollongong,Southern Slopes
Canberra,Murray Basin
Tuggeranong,Murray Basin
Mount Ginini,Murray Basin
Ballarat,Southern Slopes
Bendigo,Murray Basin
Sale,Southern Slopes
Melbourne,Southern Slopes
Mildura,Murray Basin
Nhil,Murray Basin
Portland,Southern Slopes
Watsonia,Southern Slopes
Dartmoor,Southern Slopes
Brisbane,East Coast
Cairns,Wet Tropics
GoldCoast,East Coast
Townsville,Monsoonal North
Adelaide,Southern and South-Western Flatlands
Mount Gambier,Murray Basin
Nuriootpa,Southern and South-Western Flatlands
Woomera,Rangelands
Albany,Southern and South-Western Flatlands
Witchcliffe,Southern and South-Western Flatlands
Pearce RAAF,Southern and South-Western Flatlands
Perth,Southern and South-Western Flatlands
Salmon Gums,Southern and South-Western Flatlands
Walpole,Southern and South-Western Flatlands
Hobart,Southern Slopes
Launceston,Southern Slopes
Alice Springs,Rangelands
Darwin,Monsoonal North
Katherine,Monsoonal North
Uluru,Rangelands
